step,distRaced,distFromStart,section,speedX,base_target_speed,proposed_target_speed,target_adjustment,target_speed,rl_target_active,safety_intervention,policy_inference,action_reused,adaptive_inference_urgent,trackPos,angle,damage,curLapTime,lastLapTime,best_lap_time,steer,residual,accel,brake,gear,reward,done_reason
99,5.47754,3603.92,normal,42.6825,136.0,81.63808,-54.36192,136.0,1,0,1,0,0,0.325226,0.01024,0.0,1.024,0.0,,-0.187778,-0.785315,1.0,0.0,2,0.228619,
100,5.71753,3604.16,normal,43.6358,136.0,82.702995,-53.297005,136.0,1,0,1,0,0,0.324467,0.014695,0.0,1.044,0.0,,-0.14953,-0.771574,1.0,0.0,2,0.233823,
101,5.96289,3604.41,normal,44.5648,136.0,81.497448,-54.502552,136.0,1,0,1,0,0,0.32353,0.020674,0.0,1.064,0.0,,-0.098846,-0.78713,1.0,0.0,2,0.239407,
102,6.21313,3604.66,normal,45.462,136.0,91.435567,-44.564433,136.0,1,0,1,0,0,0.322534,0.026541,0.0,1.084,0.0,,-0.049613,-0.658896,1.0,0.0,2,0.244044,
103,6.46826,3604.92,normal,46.3487,136.0,90.792709,-45.207291,136.0,1,0,1,0,0,0.32154,0.031398,0.0,1.104,0.0,,-0.009116,-0.667191,1.0,0.0,2,0.250789,
104,6.72852,3605.18,normal,47.2487,136.0,90.188344,-45.811656,136.0,1,0,1,0,0,0.320569,0.034983,0.0,1.124,0.0,,0.020715,-0.674989,1.0,0.0,2,0.255809,
105,6.99365,3605.44,normal,48.1636,136.0,88.967272,-47.032728,136.0,1,0,1,0,0,0.319623,0.037355,0.0,1.144,0.0,,0.040514,-0.690745,1.0,0.0,2,0.260574,
106,7.26416,3605.71,normal,49.0953,136.0,87.141738,-48.858262,136.0,1,0,1,0,0,0.31869,0.038727,0.0,1.164,0.0,,0.052123,-0.7143,1.0,0.0,2,0.265739,
107,7.53979,3605.99,normal,50.0443,136.0,85.406572,-50.593428,136.0,1,0,1,0,0,0.317752,0.039356,0.0,1.184,0.0,,0.057678,-0.736689,1.0,0.0,2,0.270528,
108,7.8208,3606.27,normal,51.0097,136.0,83.929421,-52.070579,136.0,1,0,1,0,0,0.316796,0.039462,0.0,1.204,0.0,,0.058996,-0.755749,1.0,0.0,2,0.275583,
109,8.10718,3606.55,normal,51.9902,136.0,82.829612,-53.170388,136.0,1,0,1,0,0,0.315808,0.039229,0.0,1.224,0.0,,0.057574,-0.76994,1.0,0.0,2,0.280668,
110,8.39893,3606.85,normal,52.9842,136.0,82.156913,-53.843087,136.0,1,0,1,0,0,0.314782,0.038793,0.0,1.244,0.0,,0.054518,-0.77862,1.0,0.0,2,0.285822,
111,8.69629,3607.14,normal,53.9947,136.0,81.954575,-54.045425,136.0,1,0,1,0,0,0.313711,0.038271,0.0,1.264,0.0,,0.050774,-0.781231,1.0,0.0,2,0.291298,
112,8.99927,3607.45,normal,54.9752,136.0,82.116415,-53.883585,136.0,1,0,1,0,0,0.312593,0.037734,0.0,1.284,0.0,,0.046922,-0.779143,1.0,0.0,2,0.296877,
113,9.30762,3607.75,normal,55.9572,136.0,82.387571,-53.612429,136.0,1,0,1,0,0,0.31143,0.037213,0.0,1.304,0.0,,0.043218,-0.775644,1.0,0.0,2,0.302279,
114,9.62158,3608.07,normal,56.9431,136.0,82.681344,-53.318656,136.0,1,0,1,0,0,0.310218,0.036729,0.0,1.324,0.0,,0.03983,-0.771854,1.0,0.0,2,0.307944,
115,9.94092,3608.39,normal,57.9349,136.0,82.997858,-53.002142,136.0,1,0,1,0,0,0.308959,0.036291,0.0,1.344,0.0,,0.036817,-0.76777,1.0,0.0,2,0.313382,
116,10.2571,0.257944,normal,58.9351,109.83722,83.134198,-26.703022,83.134198,1,0,1,0,0,0.30692,0.037565,0.0,1.364,0.0,,0.039661,-0.76601,1.0,0.0,2,0.310285,
117,10.5914,0.59231,normal,59.9447,109.459433,83.292259,-26.167174,83.292259,1,0,1,0,0,0.305428,0.039282,0.0,1.384,0.0,,0.05321,-0.763971,1.0,0.0,2,0.328432,
118,10.9315,0.932394,normal,60.9631,109.166228,83.316589,-25.849638,83.316589,1,0,1,0,0,0.303797,0.040682,0.0,1.404,0.0,,0.064221,-0.763657,1.0,0.0,2,0.334263,
119,11.2773,1.27812,normal,61.9888,109.020197,83.581657,-25.43854,83.581657,1,0,1,0,0,0.30205,0.041517,0.0,1.424,0.0,,0.070673,-0.760237,1.0,0.0,2,0.339968,
120,11.6276,1.62846,normal,62.5612,109.065549,83.693478,-25.372071,83.693478,1,0,1,0,0,0.300196,0.041615,0.0,1.444,0.0,,0.071139,-0.758794,1.0,0.0,2,0.34452,
121,11.9818,1.98271,normal,63.4635,109.233549,83.898282,-25.335267,83.898282,1,0,1,0,0,0.298241,0.041246,0.0,1.464,0.0,,0.067797,-0.756151,1.0,0.0,2,0.348442,
122,12.3412,2.34211,normal,64.4141,109.512275,84.212422,-25.299853,84.212422,1,0,1,0,0,0.296155,0.040465,0.0,1.484,0.0,,0.061052,-0.752098,1.0,0.0,2,0.353682,
123,12.7061,2.70698,normal,65.4166,109.865639,84.574099,-25.291539,84.574099,1,0,1,0,0,0.293935,0.039415,0.0,1.504,0.0,,0.052048,-0.747431,1.0,0.0,2,0.359243,
124,13.0767,3.07757,normal,66.4606,110.259998,84.79544,-25.464557,84.79544,1,0,1,0,0,0.291565,0.038232,0.0,1.524,0.0,,0.041872,-0.744575,1.0,0.0,2,0.365013,
125,13.4531,3.45397,normal,67.5302,110.669756,85.027429,-25.642327,85.027429,1,0,1,0,0,0.289035,0.037018,0.0,1.544,0.0,,0.031348,-0.741582,1.0,0.0,2,0.370856,
126,13.8356,3.83641,normal,68.6056,111.073113,85.315751,-25.757362,85.315751,1,0,1,0,0,0.286344,0.03586,0.0,1.564,0.0,,0.021173,-0.737861,1.0,0.0,2,0.377001,
127,14.2239,4.22474,normal,69.674,111.462296,85.594562,-25.867735,85.594562,1,0,1,0,0,0.283483,0.03479,0.0,1.584,0.0,,0.011603,-0.734264,1.0,0.0,2,0.382856,
128,14.6182,4.61904,normal,70.733,111.83657,86.067751,-25.768819,86.067751,1,0,1,0,0,0.280459,0.033809,0.0,1.604,0.0,,0.002653,-0.728158,1.0,0.0,2,0.388909,
129,15.0182,5.01911,normal,71.7722,111.94768,86.494552,-25.453129,86.494552,1,0,1,0,0,0.277265,0.032931,0.0,1.624,0.0,,-0.005572,-0.722651,1.0,0.0,2,0.394698,
130,15.424,5.42487,normal,72.7929,111.958908,87.148561,-24.810348,87.148561,1,0,1,0,0,0.273898,0.032182,0.0,1.644,0.0,,-0.012853,-0.714212,1.0,0.0,2,0.400578,
131,15.8354,5.83627,normal,73.8002,111.985836,87.846153,-24.139683,87.846153,1,0,1,0,0,0.270365,0.031554,0.0,1.664,0.0,,-0.019257,-0.705211,1.0,0.0,2,0.406299,
132,16.2523,6.25318,normal,74.7981,112.02442,89.057197,-22.967223,89.057197,1,0,1,0,0,0.266665,0.031013,0.0,1.684,0.0,,-0.02509,-0.689585,1.0,0.0,2,0.411927,
133,16.6747,6.6756,normal,75.7895,112.072142,90.57686,-21.495281,90.57686,1,0,1,0,0,0.262794,0.030538,0.0,1.704,0.0,,-0.030546,-0.669976,1.0,0.0,2,0.417645,
